group,yes,no,undecided
G1,94,6,0
G2,72,28,0
G3,89,11,0
G4,28,72,0
G1,11,89,0
G2,28,72,0
G3,17,83,0
G4,0,100,0
G1,0,100,0
G2,46,54,0
G3,6,94,0
G4,94,6,0
G1,11,39,50
G2,61,17,22
G3,50,11,39
G4,6,88,6
G1,33,17,50
G2,22,39,39
G3,55,28,17
G4,100,0,0
G1,22,78,0
G2,44,56,0
G3,50,50,0
G4,94,6,0
G1,0,100,0
G2,17,83,0
G3,6,94,0
G4,0,100,0
G1,0,100,0
G2,11,89,0
G3,11,89,0
G4,0,100,0
G1,61,39,0
G2,72,28,0
G3,83,17,0
G4,100,0,0
G1,0,100,0
G2,6,94,0
G3,0,100,0
G4,0,100,0
G1,100,0,0
G2,61,39,0
G3,94,6,0
G4,83,17,0
G1,100,0,0
G2,100,0,0
G3,100,0,0
G4,100,0,0
G1,89,11,0
G2,61,39,0
G3,89,11,0
G4,94,6,0
G1,100,0,0
G2,50,50,0
G3,94,6,0
G4,50,44,6
G1,56,38,6
G2,56,44,0
G3,28,55,17
G4,0,78,22
